Molecule,16det,16det,1det,1det,baseline,baseline,nojastrow
State,singlet,triplet,singlet,triplet,singlet,triplet,singlet
opt/step,,,,,,,
87,-59.450828552246094,-59.21561050415039,-59.19819259643555,-58.782379150390625,-59.506900787353516,-58.986976623535156,-59.24065399169922
88,-59.33832931518555,-59.24643325805664,-59.234657287597656,-58.794898986816406,-59.5424919128418,-58.839271545410156,-59.144508361816406
89,-59.32563018798828,-59.22368621826172,-59.10945510864258,-58.628211975097656,-59.64190673828125,-59.008968353271484,-59.28349304199219
90,-59.29221725463867,-59.32752990722656,-59.08967971801758,-58.68128204345703,-59.56170654296875,-59.07182312011719,-59.043983459472656
91,-59.58283615112305,-59.352386474609375,-59.17144012451172,-58.653411865234375,-59.706485748291016,-59.084716796875,-59.108253479003906
92,-59.53493881225586,-59.28696060180664,-59.199249267578125,-58.82917785644531,-59.50186538696289,-59.278038024902344,-59.09062576293945
93,-59.38833999633789,-59.39226531982422,-59.25452423095703,-58.96574783325195,-59.636592864990234,-59.21540832519531,-59.33318328857422
94,-59.476680755615234,-59.363372802734375,-59.28199005126953,-58.86421203613281,-59.572994232177734,-59.11043167114258,-59.29652404785156
95,-59.62779998779297,-59.41056823730469,-59.20841598510742,-59.0604248046875,-59.62733459472656,-59.249515533447266,-59.289154052734375
96,-59.607444763183594,-59.328392028808594,-59.16984558105469,-58.898643493652344,-59.61503601074219,-59.062889099121094,-58.864994049072266
97,-59.50345230102539,-59.493568420410156,-59.30614471435547,-59.038917541503906,-59.83190155029297,-59.347412109375,-59.35755920410156
98,-59.32668685913086,-59.49298095703125,-59.442840576171875,-59.00641632080078,-59.62462615966797,-59.21123504638672,-59.33367156982422
99,-59.603843688964844,-59.47361755371094,-59.397953033447266,-59.04161071777344,-59.68968200683594,-59.29667282104492,-59.617919921875
100,-59.532588958740234,-59.5885009765625,-59.41191864013672,-59.04622268676758,-59.82579803466797,-59.38792419433594,-59.46430206298828
101,-59.676185607910156,-59.487918853759766,-59.4505729675293,-59.17381286621094,-59.92823791503906,-59.342872619628906,-59.391014099121094
102,-59.83134841918945,-59.50361251831055,-59.433982849121094,-59.29132080078125,-59.79213333129883,-59.52761459350586,-59.3588752746582
103,-59.650848388671875,-59.59217071533203,-59.47266387939453,-59.26103591918945,-59.873172760009766,-59.50630187988281,-59.659767150878906
104,-59.732791900634766,-59.628360748291016,-59.46900939941406,-59.36687469482422,-59.82176971435547,-59.614173889160156,-59.60992431640625
105,-59.653568267822266,-59.566749572753906,-59.680023193359375,-59.1436767578125,-59.88720703125,-59.62285614013672,-59.51313781738281
106,-59.752052307128906,-59.65752410888672,-59.4864501953125,-59.29556655883789,-59.891578674316406,-59.508277893066406,-59.643436431884766
107,-59.768733978271484,-59.548160552978516,-59.645599365234375,-59.43016815185547,-59.92512512207031,-59.66975021362305,-59.7105712890625
108,-59.77248764038086,-59.64678955078125,-59.679649353027344,-59.489051818847656,-60.0566291809082,-59.62451934814453,-59.663516998291016
109,-59.7884407043457,-59.72231674194336,-59.677345275878906,-59.325401306152344,-59.901817321777344,-59.558284759521484,-59.64728546142578
110,-59.80699920654297,-59.655433654785156,-59.6378059387207,-59.288352966308594,-59.941383361816406,-59.618961334228516,-59.5791130065918
111,-59.84764862060547,-59.67503356933594,-59.761905670166016,-59.379356384277344,-59.99858093261719,-59.54981994628906,-59.60679626464844
112,-59.7653694152832,-59.76197814941406,-59.80329895019531,-59.43769073486328,-59.992164611816406,-59.587589263916016,-59.608699798583984
113,-59.73944854736328,-59.69339370727539,-59.795265197753906,-59.49749755859375,-59.99479293823242,-59.608924865722656,-59.78609848022461
114,-59.8322868347168,-59.783607482910156,-59.66954040527344,-59.65040588378906,-59.959571838378906,-59.642845153808594,-59.814666748046875
115,-59.98094177246094,-59.81291198730469,-59.68685531616211,-59.69036102294922,-59.93894577026367,-59.589805603027344,-59.69158172607422
116,-59.856300354003906,-59.78709030151367,-59.73691177368164,-59.49803924560547,-60.03742599487305,-59.70128631591797,-59.83053207397461
117,-59.921852111816406,-59.70978546142578,-59.82083511352539,-59.60955810546875,-59.932857513427734,-59.566898345947266,-59.76365280151367
118,-59.99433135986328,-59.85625457763672,-59.82713317871094,-59.60218811035156,-60.157005310058594,-59.65944290161133,-59.72142791748047
119,-59.99468994140625,-59.83404541015625,-59.88566589355469,-59.55704879760742,-60.00202560424805,-59.6985969543457,-59.90337371826172
120,-59.94450378417969,-59.779945373535156,-59.84996795654297,-59.65489196777344,-60.10108947753906,-59.80571746826172,-59.839969635009766
121,-59.95965576171875,-59.855743408203125,-59.89958190917969,-59.4930419921875,-60.13752365112305,-59.669593811035156,-59.952850341796875
