n_carbon,cutoff,batch_size,opt_batch_size,burnin/t_step,opt/t_step,model
25,4.0,128,16,0.5425564721226692,1.0245770327746868,FiRE
25,4.0,128,32,0.5511425398290157,1.001866351813078,FiRE
25,4.0,128,64,0.5489578172564507,0.9621388912200928,FiRE
25,4.0,256,4,0.8818631023168564,2.1659189872443676,FiRE
25,4.0,256,8,0.877564325928688,1.911826740950346,FiRE
25,4.0,256,16,0.8880128674209118,1.8230534084141254,FiRE
25,4.0,256,32,0.8814781419932842,1.755519811064005,FiRE
25,4.0,256,64,0.8667227886617184,1.6904841139912605,FiRE
25,4.0,512,4,1.5479550510644913,4.143651094287634,FiRE
25,4.0,512,8,1.519506298005581,3.585656549781561,FiRE
25,4.0,512,16,1.5352033525705338,3.4530496671795845,FiRE
25,4.0,512,32,1.548190861940384,3.295231845229864,FiRE
25,4.0,512,64,1.5349786281585693,3.1974775455892086,FiRE
25,4.0,1024,4,2.8393553160130978,8.108740791678429,FiRE
25,4.0,1024,8,2.8688582740724087,7.161412175744772,FiRE
25,4.0,1024,16,2.8473638258874416,6.7509511932730675,FiRE
25,4.0,1024,32,2.8455006554722786,6.567080099135637,FiRE
25,4.0,1024,64,2.8774954341351986,6.287018999457359,FiRE
25,5.0,128,4,0.5624584034085274,1.2772805653512478,FiRE
25,5.0,128,8,0.5897477604448795,1.1729597449302673,FiRE
25,5.0,256,4,0.9609297774732113,2.4014620408415794,FiRE
25,5.0,256,8,0.9513104669749737,2.1275383047759533,FiRE
25,5.0,512,4,1.6645534224808216,4.534976575523615,FiRE
25,5.0,512,8,1.682612482458353,4.069069154560566,FiRE
25,5.0,1024,4,3.1801329851150513,9.004178758710623,FiRE
25,5.0,1024,8,3.157705929130316,7.887867972254753,FiRE
25,7.0,128,4,0.6971234753727913,1.6145036704838276,FiRE
25,7.0,128,8,0.6598814874887466,1.399837039411068,FiRE
25,7.0,256,4,1.1713138073682785,2.9898357689380646,FiRE
25,7.0,256,8,1.190159197896719,2.736171569675207,FiRE
25,7.0,512,4,2.079174730926752,5.735718447715044,FiRE
25,7.0,512,8,2.1187251061201096,5.191821381449699,FiRE
25,7.0,1024,4,4.080539107322693,11.430891770869493,FiRE
25,7.0,1024,8,4.051942225545645,10.289573185145855,FiRE
27,3.0,128,8,0.5442114695906639,1.0310970395803452,FiRE
27,3.0,128,16,0.5434999838471413,1.014269646257162,FiRE
